sample_id,video_uid,video_category,scenario,task,dialogue,question,options,correct_answer,source
a869ed3c-901d-4328-99f0-9b446822a412_86,a869ed3c-901d-4328-99f0-9b446822a412,Cooking; Eating; Listening to music,multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""The steam has mostly stopped rising, so I think the noodles are finally at the right temperature.""}, {""speaker"": ""Other"", ""text"": ""They look perfect. Did you find the utensils I put out for you?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yes, I see a metal fork and a pair of bamboo chopsticks on the side.""}, {""speaker"": ""Other"", ""text"": ""Please use the bamboo chopsticks instead of the metal fork; the texture of the wood helps grip the noodles much better.""}, {""speaker"": ""Camera Wearer"", ""text"": ""That's a good point, I'll go ahead and use the bamboo ones.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare to eat noodles?","{""A"": ""Scoop noodles using the bamboo chopsticks"", ""B"": ""Eat noodles using the metal fork"", ""C"": ""Blow on the noodles using the metal fork"", ""D"": ""Eat noodles using the bamboo chopsticks""}",D,round1
0e8f206c-ce9d-48e2-afd2-b994154921bd_5,f3c557d2-1170-4979-9a70-96d9b51fa987,Cleaning / laundry; Indoor Navigation (walking); Walking the dog / pet,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""What are you digging around in there for?""}, {""speaker"": ""Camera Wearer"", ""text"": ""I'm just grabbing these for the picnic. I told Sarah I'd bring some drinks.""}, {""speaker"": ""Other"", ""text"": ""Oh, right. Are those the sparkling waters she likes?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yep, exactly. I'll just take these two out so they're ready to go when she gets here.""}]",What items is the camera wearer taking for Sarah?,"{""A"": ""Two cans of sparkling water"", ""B"": ""Two bottles of sparkling water"", ""C"": ""Two cans of soda"", ""D"": ""Two bottles of juice""}",A,round1
6a4d1bcd-93bb-4c97-bf32-632a254533a4_19,1ebbf490-8a85-46b9-99c9-cd0f7e3b634b,Attending sporting events - watching and participating in; Bike; Indoor Navigation (walking); Talking to colleagues; Walking on street; Working out outside,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, is that your bag over there on the white chair?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I just got it last week. I really like this brand.""}, {""speaker"": ""Speaker 1"", ""text"": ""It looks sturdy. Which brand is it?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Have a look, the logo is right on the front.""}]","Based on the dialogue and the visual evidence in the video, what brand is the bag the camera wearer is referring to?","{""A"": ""Reebok"", ""B"": ""Wilson"", ""C"": ""Adidas"", ""D"": ""Nike""}",A,manual
56bfc9ac-00f4-41ae-8112-3851c538d9b9_122,56bfc9ac-00f4-41ae-8112-3851c538d9b9,Cooking; Daily hygiene; Eating; Watching tv; Working at desk; Working out at home,contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""Are you done with the eggs? You should probably dry your hands before doing anything else.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I just finished rinsing them under the faucet. I'm going to walk over to the pantry to grab a fresh roll of paper towels.""}, {""speaker"": ""Other"", ""text"": ""Wait, I thought I saw a clean cloth sitting right there on the countertop next to the bowl.""}, {""speaker"": ""Camera Wearer"", ""text"": ""No, that's just an old rag for cleaning the floor. I'm definitely heading to the pantry to get the paper towels instead.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare eggs in a kitchen?","{""A"": ""squeeze cloth in sink"", ""B"": ""wash hands in sink"", ""C"": ""go to the pantry for paper towels"", ""D"": ""pick cloth on countertop""}",D,round1
f374039b-7f08-4dc3-af64-4e9ff61db531_107,f374039b-7f08-4dc3-af64-4e9ff61db531,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""I've finished scraping the thickest layers of mortar off this square trowel.""}, {""speaker"": ""Other"", ""text"": ""Good progress. To prevent the remaining residue from hardening, you need to submerge it immediately.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Should I just set it aside on the workbench for now?""}, {""speaker"": ""Other"", ""text"": ""No, definitely don't leave it on the dry bench. Put it straight into the water bucket so it stays wet.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Okay, the bucket is right here in front of me. I'm moving to the next step.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to clean construction tools?","{""A"": ""scrape finishing trowel against the side of the water bucket"", ""B"": ""drop trowel into the water bucket"", ""C"": ""place the trowel on the dry workbench"", ""D"": ""rotate square trowel to wipe it with a dry rag""}",B,round1
d5ac2685-a012-46fe-8bc9-5c21c07edb0a_159,d5ac2685-a012-46fe-8bc9-5c21c07edb0a,biology experiments,multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""I've finished dispensing the liquid into the 24-well plate.""}, {""speaker"": ""Other"", ""text"": ""Okay, for that specific reagent, we always use the blue screw cap to maintain airtight integrity.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Is that the cap sitting next to the plate?""}, {""speaker"": ""Other"", ""text"": ""Yes, that's the one. It’s designed specifically for those bottles to prevent evaporation.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Understood, I'll make sure the seal is tight.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare the 24 well plate in the laboratory?","{""A"": ""Close the bottle using the blue screw cap."", ""B"": ""Place the blue screw cap on the table."", ""C"": ""Close the bottle with the red snap cap."", ""D"": ""Close the bottle loosely without ensuring airtight integrity.""}",A,round1
817170ad-1f3b-44b1-9772-fe914fa17f30_40,817170ad-1f3b-44b1-9772-fe914fa17f30,Doing yardwork / shoveling snow,contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""How is the maintenance on that drainage pipe going? Did you manage to clear out the blockage?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yes, I just finished clearing the debris. I've pulled out the electronic water sensor to make sure it wasn't damaged by the dirt.""}, {""speaker"": ""Other"", ""text"": ""Is the sensor back in its slot now? We need to get the water flowing for the garden soon.""}, {""speaker"": ""Camera Wearer"", ""text"": ""I just placed the sensor back into the housing. I'm going to need to find a screwdriver next to tighten the mounting bolts and calibrate the unit.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to clean the house and water a flower pot?","{""A"": ""tighten the mounting bolts"", ""B"": ""calibrate the electronic sensor"", ""C"": ""cover hole"", ""D"": ""pick up power washer gun""}",C,round1
615c5cd1-1dab-4667-94ce-30bfe52e7cd4_23,615c5cd1-1dab-4667-94ce-30bfe52e7cd4,Cleaning / laundry; Cooking; Eating; Household management - caring for kids; Talking on the phone; Talking with family members,multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""I'm almost finished with the prep work, so I'll start clearing the space now.""}, {""speaker"": ""Other"", ""text"": ""Good idea. Just make sure you follow the safety protocol for the sharp utensils while tidying up.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Remind me again where the temporary spot for those is?""}, {""speaker"": ""Other"", ""text"": ""You should place any sharp items specifically on the far left side of the countertop, away from the edge where people walk.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Okay, I'll make sure to set them down right there on the left side.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to clean up?","{""A"": ""Put knife near the edge of the countertop."", ""B"": ""Put knife on the far left side of the countertop."", ""C"": ""Put knife on the right side of the countertop."", ""D"": ""Clean the far left side of the countertop.""}",B,round1
ac5cdd52-3bb4-4bee-91b4-a0c9a8110bf6_3,ae56fbda-009b-485c-9dfa-72ce89e847bf,"Going to the gym - exercise machine, class, weights; Walking on street",contradictory,QaEgo4D,"[{""speaker"": ""Camera Wearer"", ""text"": ""I saw that guy with the motorbike park right in front of the building and leave it there. He must’ve gone inside.""}, {""speaker"": ""Other"", ""text"": ""Yeah, he was carrying two bicycles with him when he walked in—must be storing them in the basement. Weird place to keep them, but okay.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Honestly, I thought he left the bikes outside near the garage. But hey, at least he didn’t leave the motorbike on the roof like last time!""}]",Which object does C pass twice before entering the building?,"{""A"": ""A motorbike and two bicycles"", ""B"": ""A green pear"", ""C"": ""A packed motorbiked and packed bicycles"", ""D"": ""Two bicycles and a garage""}",C,original
9561958b-d1bc-4a30-ac4b-35ffd6bd2282_3,fb7cc35d-3272-44a4-b8f2-15cd24fa345b,Hosting a party; Playing games / video games; Talking with family members,contradictory,QaEgo4D,"[{""speaker"": ""Camera Wearer"", ""text"": ""'Hey, did you see where I left the home telephone? I could’ve sworn I put it on the kitchen counter after making tea.'""}, {""speaker"": ""Other"", ""text"": ""'You mean the cordless handset? Yeah, I saw you place it right there next to the kettle. It’s definitely in the kitchen.'""}]",Where is the home telephone actually located according to the video?,"{""A"": ""kitchen"", ""B"": ""bathroom"", ""C"": ""bedroom"", ""D"": ""sofa""}",D,original
8672b38a-7682-4244-ad7a-a336c81c2d0e_19,8672b38a-7682-4244-ad7a-a336c81c2d0e,"Clothes, other shopping",contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""How does that new jacket look on you? I think the color really suits you.""}, {""speaker"": ""Camera Wearer"", ""text"": ""It fits perfectly. I'm looking in the mirror now and I've decided I'm definitely going to wear it out of the store today.""}, {""speaker"": ""Other"", ""text"": ""Are you sure? You might want to check if they have a larger size before you decide to buy it.""}, {""speaker"": ""Camera Wearer"", ""text"": ""No, this is the right one. I'm just doing a final check in the mirror before I head straight to the checkout counter.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to shopping for clothes in a supermarket?","{""A"": ""put shirt on rack"", ""B"": ""pick belt"", ""C"": ""put down shoes"", ""D"": ""wear jacket""}",A,round1
8af6b752-3333-4d3d-94a1-df8ddf8d9048_6,6099730e-7a7c-41ce-8266-83a9f00cacec,Bus; Grocery shopping indoors; Indoor Navigation (walking); Walking on street,contradictory,QaEgo4D,"[{""speaker"": ""Speaker 1"", ""text"": ""Is the computer still off? Can you reach over and press the power button on the monitor?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Sure, I'm reaching for the monitor's power button right now. It should turn on in a second.""}]","Based on the visual evidence in the video, what object is the camera wearer actually touching and interacting with?","{""A"": ""The power button on the black computer monitor."", ""B"": ""The switch for the silver desk lamp."", ""C"": ""A wall-mounted thermostat above the desk."", ""D"": ""A volume control knob on a speaker.""}",C,manual
31f41426-0358-4518-bd67-dea247333cc0_3,50d413f2-5709-475d-8999-6135dcd7d63f,Car mechanic,contradictory,QaEgo4D,"[{""speaker"": ""Camera Wearer"", ""text"": ""I saw you grab the wrench with your right hand and tighten the bolt—pretty smooth move. Speaker 2: Thanks! I always use the right hand for precision work. That screw was loose near the motorcycle footrest, so I had to secure it quickly.""}]",Which hand did the person use to pick up the screw?,"{""A"": ""Right hand"", ""B"": ""Left hand"", ""C"": ""Both hands"", ""D"": ""Neither hand""}",B,round1
f13e07fb-f312-4676-9128-3a877bbfdbdd_0,38ead8a1-4d57-4bfb-b7dc-a9785b22f93a,Cleaning / laundry; Eating; Household cleaners; Reading books,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""Are you finally taking a break? You've been staring at that screen for hours.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I'm getting a headache. I need something to help me relax and refocus.""}, {""speaker"": ""Other"", ""text"": ""Is that the new blend I bought yesterday?""}, {""speaker"": ""Camera Wearer"", ""text"": ""It is. It smells amazing. Hopefully, it does the trick and calms my nerves.""}, {""speaker"": ""Other"", ""text"": ""It should. Let it steep for a few more seconds before you drink it.""}]",What is the color of the cup holding the 'new blend' mentioned by the colleague in the conversation?,"{""A"": ""The cup is primarily white."", ""B"": ""The cup is primarily black."", ""C"": ""The cup is transparent glass."", ""D"": ""The cup is blue with a pattern.""}",A,round1
d2e53fb3-2233-432a-970e-4e00077f0d8b_4,7e2a3795-28a5-4314-a4d7-b91807812ed1,Cleaning / laundry; Making coffee,contradictory,QaEgo4D,"[{""speaker"": ""Camera Wearer"", ""text"": ""I just saw you put the coffee bag back in the fridge and shut it with your left hand. You’re so careful!""}, {""speaker"": ""Other"", ""text"": ""Yeah, I always close the fridge properly. I even remember turning off the coffee maker before we left.""}]",Which hand did the woman use to close the coffee machine on the refrigerator?,"{""A"": ""Left hand"", ""B"": ""Right hand"", ""C"": ""Both hands"", ""D"": ""She did not close it""}",B,round1
7df161bf-0068-45aa-9a29-a57c3092433c_78,7df161bf-0068-45aa-9a29-a57c3092433c,Cleaning / laundry; Cooking; Crafting/knitting/sewing/drawing/painting; Eating; Listening to music; Play with cellphone,multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""I've finished clearing the counter, so I'm ready to start mixing the ingredients for the drop scones.""}, {""speaker"": ""Other"", ""text"": ""Just remember what the recipe said about the equipment; you shouldn't use any metal tools for the initial mixing.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Oh, so I should avoid the metal spoons and the whisk?""}, {""speaker"": ""Other"", ""text"": ""Exactly. You need to use the wooden spoon to ensure the batter reaches the right consistency without overworking it.""}, {""speaker"": ""Camera Wearer"", ""text"": ""That makes sense, I'll make sure to use that instead.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to wash utensils and make drop scones?","{""A"": ""put plastic container on cloth using the wooden spoon"", ""B"": ""pick wooden spoon"", ""C"": ""pick metal spoon to mix the batter"", ""D"": ""open drawer to find a metal whisk""}",B,round1
5d9fc177-e358-4072-b46d-40990f9e8c59_4,864618d9-cc17-4e90-8c64-7a1e4ba23d17,Going to the park; Walking the dog / pet,multimodal_grounded,QaEgo4D,"[{""speaker"": ""Other"", ""text"": ""It's a busy day at the park. Did your sister come along with you?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yes, she's standing right here on my right side, watching the dogs run.""}]",What is the sister mentioned in the dialogue wearing on her head?,"{""A"": ""A maroon knit hat"", ""B"": ""A blue baseball cap"", ""C"": ""A white visor"", ""D"": ""Nothing""}",A,manual
c50fc6fd-8dd1-4666-b0eb-17dcea8c7a10_12,c50fc6fd-8dd1-4666-b0eb-17dcea8c7a10,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""It's such a beautiful day to work in the garden! Are you watering those blue hydrangeas?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yes, I'm using this blue watering can to give them some clear water. They really needed it after the dry spell.""}]","Based on the visual evidence in the video, what is the camera wearer actually doing and what is the color of the liquid being used?","{""A"": ""Spraying yellow liquid onto a car's wheel hub in a garage."", ""B"": ""Watering blue flowers with clear water in a garden."", ""C"": ""Cleaning a window with blue detergent in a house."", ""D"": ""Painting a fence with white paint in a backyard.""}",A,manual
04994ce8-9d47-44d6-a7b0-42b395e69390_74,04994ce8-9d47-44d6-a7b0-42b395e69390,Carpenter,contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""How's the mortar bed looking? Is it ready for the tiles to be laid down?""}, {""speaker"": ""Camera Wearer"", ""text"": ""It looks perfect. I'm just going to take a moment to clean the tile edge of these pieces before I set them.""}, {""speaker"": ""Other"", ""text"": ""Do you think that's necessary? The adhesive is fresh right now and might start to skin over.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Definitely. After I finish cleaning the edges, I'll probably swipe the cement bucket to clear the rim so it doesn't dry chunky.""}, {""speaker"": ""Other"", ""text"": ""Okay, just don't take too long before you actually start placing them on the floor.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare tiles?","{""A"": ""clean tile edge"", ""B"": ""drop trowel on cement bucket"", ""C"": ""place tiles on floor"", ""D"": ""swipe cement bucket""}",C,round1
3d3cddf9-7c61-43af-8b1a-46aa78983a5a_202,3d3cddf9-7c61-43af-8b1a-46aa78983a5a,Cleaning / laundry; Cooking; Gardener; Listening to music; Reading books,multimodal_grounded,EgoPlan-Bench2,"[{""speaker"": ""Camera Wearer"", ""text"": ""The basin is all rinsed out now, and the filter is back in place. What should I do to finish up?""}, {""speaker"": ""Other"", ""text"": ""You need to get the moisture off the stainless steel so it doesn't leave spots. Whatever you do, don't use that abrasive sponge over there; it'll leave marks on the finish.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Understood. Is there a specific tool I should use for the surfaces?""}, {""speaker"": ""Other"", ""text"": ""Yes, use the blue microfiber cloth from the drawer. It's the best for the finish, much better than using paper towels which leave lint everywhere.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Found it. I'll start on the sides of the basin right away.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to clean kitchen sink?","{""A"": ""Rinse the sink filter using the blue microfiber cloth"", ""B"": ""Wipe the sink using the abrasive sponge"", ""C"": ""Wipe the sink using the blue microfiber cloth"", ""D"": ""Wipe the sink using paper towels""}",C,round1
2cddb76f-24d1-4863-bd91-9a5d1922a543_2,2cddb76f-24d1-4863-bd91-9a5d1922a543,Outdoor social (includes campfire),contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""How is the rope prep coming along for the climb?""}, {""speaker"": ""Camera Wearer"", ""text"": ""It's going well. I've already finished adjusting the tension on the main lines and pulling them through the anchors.""}, {""speaker"": ""Other"", ""text"": ""What about the bundle currently near your feet? It looks a bit loose.""}, {""speaker"": ""Camera Wearer"", ""text"": ""That's just extra slack. I'm actually going to drop the rope and leave it there to clear the workspace.""}, {""speaker"": ""Other"", ""text"": ""Are you sure? I thought we needed to gather everything before we move to the next station.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare rope for climbing?","{""A"": ""pick up rope"", ""B"": ""drop rope"", ""C"": ""adjust rope"", ""D"": ""pull rope""}",A,round1
a947cc1b-0129-48b6-ae11-a095a46c6559_5,a947cc1b-0129-48b6-ae11-a095a46c6559,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",contradictory,EgoPlan-Bench2,"[{""speaker"": ""Other"", ""text"": ""How is the mower maintenance coming along? Are you almost ready to start?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I'm just about there. I found some old nylon string in my pocket that I'm using to tie the handle frame together.""}, {""speaker"": ""Other"", ""text"": ""Nylon string? That doesn't sound right. I thought you were fixing the internal power cable.""}, {""speaker"": ""Camera Wearer"", ""text"": ""No, it's definitely just a piece of rope for the chassis. I'm threading it through the side of the mower now to make a secure knot.""}, {""speaker"": ""Other"", ""text"": ""If you say so. Just make sure it's tight before you try to use it.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cutting grass?","{""A"": ""Tighten the nylon string knot"", ""B"": ""Lash the chassis with rope"", ""C"": ""Insert wire in grass cutter"", ""D"": ""Replace the mower handle""}",C,round1
