task,scenario,video_uid,video_category,sample_id,dialogue,question,options,correct_answer,start_sec,end_sec
EgoPlan-Bench2,video_grounded_offtopic,93ba1e92-f21c-45b8-9862-6e15e2e2742c,Daily life,93ba1e92-f21c-45b8-9862-6e15e2e2742c_14,"[{""speaker"": ""Speaker 1"", ""text"": ""This party is getting boring. Nobody interesting is even here anymore.""}, {""speaker"": ""Speaker 2"", ""text"": ""Aw, come on, we just got here. Let's dance a little.""}, {""speaker"": ""Speaker 1"", ""text"": ""We've been dancing for hours. My feet hurt.""}, {""speaker"": ""Speaker 2"", ""text"": ""Okay, fine, one more song and then we can go.""}, {""speaker"": ""Speaker 1"", ""text"": ""sandra, come on. let's go.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to eat a meal? (A) eat meat (B) pick up silverwares (C) drink water (D) cut meat with knife","{""A"": ""eat meat"", ""B"": ""pick up silverwares"", ""C"": ""drink water"", ""D"": ""cut meat with knife""}",A,268.3,321.7
EgoPlan-Bench2,video_grounded_offtopic,3f2b1d67-50ef-4005-95d3-4cba5bd10b4b,Daily life,3f2b1d67-50ef-4005-95d3-4cba5bd10b4b_18,"[{""speaker"": ""Speaker 2"", ""text"": ""I don't know, man. This job interview tomorrow has me freaking out. What if I completely bomb it?""}, {""speaker"": ""Speaker 1"", ""text"": ""Come on, you've got all the experience they want. You'll crush it.""}, {""speaker"": ""Speaker 2"", ""text"": ""But the competition is insane, and I keep second-guessing every answer I'll give.""}, {""speaker"": ""Speaker 1"", ""text"": ""You've practiced nonstop. They're lucky to have you even considering it.""}, {""speaker"": ""Speaker 2"", ""text"": ""Still, my stomach's in knots. I just can't shake this feeling it'll go wrong.""}, {""speaker"": ""Speaker 1"", ""text"": ""look, all i'm saying is that you don't have to worry""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to eat bread and drink tea? (A) put cup on table (B) pick bread (C) place bread on plate (D) drink tea","{""A"": ""put cup on table"", ""B"": ""pick bread"", ""C"": ""place bread on plate"", ""D"": ""drink tea""}",A,536.4666666666667,589.0333333333333
EgoPlan-Bench2,video_grounded_offtopic,d3efcada-ea80-47e4-80a8-7b9699766269,Daily life,d3efcada-ea80-47e4-80a8-7b9699766269_33,"[{""speaker"": ""Speaker 1"", ""text"": ""The care packages from our families never made it to the unit. Everyone's pissed.""}, {""speaker"": ""Speaker 2"", ""text"": ""No way. Those had all the good stuff—cookies, letters, the works. Who do you think swiped them?""}, {""speaker"": ""Speaker 1"", ""text"": ""I've been piecing it together. Remember how Cheyenne was hanging around the mailroom last week?""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, she was acting shady. But it couldn't be her, right? She's one of us.""}, {""speaker"": ""Speaker 1"", ""text"": ""it was cheyenne. she took the care packages.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to iron material? (A) pick iron box (B) pick material (C) fold material (D) iron material","{""A"": ""pick iron box"", ""B"": ""pick material"", ""C"": ""fold material"", ""D"": ""iron material""}",C,459.6,501.5
EgoPlan-Bench2,video_grounded_offtopic,7d2d4e8e-bc29-4cce-bbd5-ab1daf1b27b5,Daily life,7d2d4e8e-bc29-4cce-bbd5-ab1daf1b27b5_54,"[{""speaker"": ""Speaker 1"", ""text"": ""This protest is getting out of hand, man. The crowd's massive.""}, {""speaker"": ""Speaker 2"", ""text"": ""Tell me about it. I can barely see the stage anymore.""}, {""speaker"": ""Speaker 1"", ""text"": ""Yeah, and check out that group chanting over there—they're intense.""}, {""speaker"": ""Speaker 2"", ""text"": ""Hey, Tommy, some guy with no pants just joined the protest.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare water for cooking? (A) take cooking stick (B) adjust cooker knob (C) stir water in pot (D) close can","{""A"": ""take cooking stick"", ""B"": ""adjust cooker knob"", ""C"": ""stir water in pot"", ""D"": ""close can""}",A,615.8,620.4
EgoPlan-Bench2,video_grounded_offtopic,5ed59c41-af9e-4368-a0ce-30d536d34895,Daily life,5ed59c41-af9e-4368-a0ce-30d536d34895_22,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, good morning! You up early today?""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, couldn't sleep. What's got you calling so soon?""}, {""speaker"": ""Speaker 1"", ""text"": ""Just checking in. Isn't today the day with all the chocolate eggs?""}, {""speaker"": ""Speaker 2"", ""text"": ""Oh right, Easter Sunday! happy easter.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cut the ghee? (A) drop knife (B) eat butter piece (C) cut ghee (D) cover butter","{""A"": ""drop knife"", ""B"": ""eat butter piece"", ""C"": ""cut ghee"", ""D"": ""cover butter""}",D,280.93333333333334,289.8666666666667
EgoPlan-Bench2,video_grounded_offtopic,3a969f2a-5e7b-4870-aa01-d01cdc0555bd,Work,3a969f2a-5e7b-4870-aa01-d01cdc0555bd_5,"[{""speaker"": ""Speaker 1"", ""text"": ""This place is a joke. Our manager has no idea how to run a team.""}, {""speaker"": ""Speaker 2"", ""text"": ""Tell me about it. He's always making dumb decisions.""}, {""speaker"": ""Speaker 1"", ""text"": ""Yeah, like that new schedule? Total disaster. I might just tell him off next time.""}, {""speaker"": ""Speaker 2"", ""text"": ""Hold up, your manager is listening.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to replace parts of the motherboard? (A) drop motherboard on table (B) pick plier (C) place hand on table (D) raise motherboard","{""A"": ""drop motherboard on table"", ""B"": ""pick plier"", ""C"": ""place hand on table"", ""D"": ""raise motherboard""}",A,629.9333333333333,641.8
EgoPlan-Bench2,video_grounded_offtopic,3098f737-d4ba-4c67-9eb0-589d35858af0,Work,3098f737-d4ba-4c67-9eb0-589d35858af0_14,"[{""speaker"": ""Speaker 1"", ""text"": ""Whoa, is that a water gun? You better not aim that at me!""}, {""speaker"": ""Speaker 2"", ""text"": ""Haha, it's loaded and ready.""}, {""speaker"": ""Speaker 1"", ""text"": ""No way, I hate getting wet! Last time I was soaked for hours.""}, {""speaker"": ""Speaker 2"", ""text"": ""don't worry. i'm not gonna squirt anyone.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare wood? (A) adjust wood (B) pull out sack (C) pick up wood (D) drop wood","{""A"": ""adjust wood"", ""B"": ""pull out sack"", ""C"": ""pick up wood"", ""D"": ""drop wood""}",D,273.76666666666665,277.1333333333333
EgoPlan-Bench2,video_grounded_offtopic,7f5ed6e1-aca1-40d5-87c6-d156c5f02263,Recreation,7f5ed6e1-aca1-40d5-87c6-d156c5f02263_20,"[{""speaker"": ""Speaker 1"", ""text"": ""Rodriguez, you copy that last update from dispatch? Suspect's vehicle just turned onto Elm Street.""}, {""speaker"": ""Speaker 2"", ""text"": ""Yeah, I got it. We're two blocks out—should intercept in under a minute.""}, {""speaker"": ""Speaker 1"", ""text"": ""Hold up, I'm pulling over now. Something's off with the plates on that sedan ahead.""}, {""speaker"": ""Speaker 2"", ""text"": ""Run 'em quick. If it's him, we move in silent.""}, {""speaker"": ""Speaker 1"", ""text"": ""hey, rodriguez, we have a problem.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to pack up camping gear? (A) enter camp tent (B) take pillow (C) fold towel (D) pick bags","{""A"": ""enter camp tent"", ""B"": ""take pillow"", ""C"": ""fold towel"", ""D"": ""pick bags""}",A,728.9,788.6333333333333
EgoPlan-Bench2,video_grounded_offtopic,48509cf2-9c7b-401a-99f9-fca9f1403149,Daily life,48509cf2-9c7b-401a-99f9-fca9f1403149_8,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, you still working that security gig at the mall?""}, {""speaker"": ""Speaker 2"", ""text"": ""Nah, quit last month. Too many sticky-fingered teens. Why?""}, {""speaker"": ""Speaker 1"", ""text"": ""I've been volunteering at the community center, trying to turn those shoplifters around.""}, {""speaker"": ""Speaker 2"", ""text"": ""No kidding? Like some kind of boot camp for kleptos?""}, {""speaker"": ""Speaker 1"", ""text"": ""Exactly, it's a rehab course I put together. i need someone to help me run my shoplifter rehab course.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to season and fry meat? (A) close pepper pack (B) scoop pepper (C) pour pepper on meats (D) stir meats","{""A"": ""close pepper pack"", ""B"": ""scoop pepper"", ""C"": ""pour pepper on meats"", ""D"": ""stir meats""}",D,175.73333333333332,195.23333333333332
EgoPlan-Bench2,video_grounded_offtopic,1cccdb19-2eb3-4ab7-ab74-58c9b425a68c,Hobbies,1cccdb19-2eb3-4ab7-ab74-58c9b425a68c_65,"[{""speaker"": ""Speaker 1"", ""text"": ""Those families outside the shelter look desperate. It's breaking my heart seeing the kids like that.""}, {""speaker"": ""Speaker 2"", ""text"": ""I know, but we can't help everyone. What if we organize a food drive or something?""}, {""speaker"": ""Speaker 1"", ""text"": ""That sounds good, but it'll take weeks to set up, and they need help today.""}, {""speaker"": ""Speaker 2"", ""text"": ""You're right, maybe clothes or blankets instead?""}, {""speaker"": ""Speaker 1"", ""text"": ""Why don't we just give them some cash?""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare the plant for watering? (A) touch house plant leaves (B) place house plant on shelf (C) trim house plant leaf (D) rotate house plant","{""A"": ""touch house plant leaves"", ""B"": ""place house plant on shelf"", ""C"": ""trim house plant leaf"", ""D"": ""rotate house plant""}",B,1111.9,1143.1666666666667
EgoPlan-Bench2,video_grounded_offtopic,bdbeaad4-212d-4c45-8a32-e6c5f852f0ee,Work,bdbeaad4-212d-4c45-8a32-e6c5f852f0ee_51,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, you mentioned setting me up with your friend the other day. What's he like?""}, {""speaker"": ""Speaker 2"", ""text"": ""Oh yeah, he's a really nice guy. Super active and fun.""}, {""speaker"": ""Speaker 1"", ""text"": ""Active how? Like gym rat or what?""}, {""speaker"": ""Speaker 2"", ""text"": ""Nah, more like sports guy. He's got some interesting stories too.""}, {""speaker"": ""Speaker 1"", ""text"": ""Okay, sell me on him. Give me the details.""}, {""speaker"": ""Speaker 2"", ""text"": ""he's in a handball league, he had a deaf girlfriend""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to attach pipe to flask? (A) wear glove (B) pick up pipe (C) loosen lid (D) push glass door","{""A"": ""wear glove"", ""B"": ""pick up pipe"", ""C"": ""loosen lid"", ""D"": ""push glass door""}",D,558.6,572.5666666666667
EgoPlan-Bench2,video_grounded_offtopic,ad08b4d6-3f23-4f3c-974c-5d9d90a727b6,Daily life,ad08b4d6-3f23-4f3c-974c-5d9d90a727b6_14,"[{""speaker"": ""Speaker 1"", ""text"": ""Thanks for helping me out with this.""}, {""speaker"": ""Speaker 2"", ""text"": ""No problem at all.""}, {""speaker"": ""Speaker 1"", ""text"": ""Anyway, I should head out before traffic gets bad.""}, {""speaker"": ""Speaker 2"", ""text"": ""Drive safe.""}, {""speaker"": ""Speaker 1"", ""text"": ""okay. bye, parker.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to pick up dog waste and dispose it? (A) fasten dog waste bag (B) collect dog waste from ground (C) adjust cloth with left hand (D) move dog leash to right hand","{""A"": ""fasten dog waste bag"", ""B"": ""collect dog waste from ground"", ""C"": ""adjust cloth with left hand"", ""D"": ""move dog leash to right hand""}",A,556.7333333333333,695.9333333333333
EgoPlan-Bench2,video_grounded_offtopic,f9b214ac-cb2c-4a1e-b6f1-518293398e35,Work,f9b214ac-cb2c-4a1e-b6f1-518293398e35_5,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, I think we should rearrange the living room furniture before the guests arrive tomorrow.""}, {""speaker"": ""Speaker 2"", ""text"": ""Totally agree. Where do you want to start?""}, {""speaker"": ""Speaker 1"", ""text"": ""Let's move the couch against that wall and shift the coffee table to the center.""}, {""speaker"": ""Speaker 2"", ""text"": ""Perfect, but the kids might barge in and ruin the surprise.""}, {""speaker"": ""Speaker 1"", ""text"": ""Close the door.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to operate a laptop, organize items and hydrate? (A) move bowl (B) put water bottle on table (C) drink water (D) press keyboard","{""A"": ""move bowl"", ""B"": ""put water bottle on table"", ""C"": ""drink water"", ""D"": ""press keyboard""}",C,2.2666666666666666,31.333333333333332
EgoPlan-Bench2,video_grounded_offtopic,c976bf0b-e005-40b6-8482-6c1431797edc,Work,c976bf0b-e005-40b6-8482-6c1431797edc_39,"[{""speaker"": ""Speaker 2"", ""text"": ""I totally blew that client call today. The boss is gonna fire me, I just know it.""}, {""speaker"": ""Speaker 1"", ""text"": ""Hey, slow down. What makes you think that?""}, {""speaker"": ""Speaker 2"", ""text"": ""He hung up the phone and gave me this look, like I was the worst hire ever. I'm panicking.""}, {""speaker"": ""Speaker 1"", ""text"": ""You've been killing it there for months. It's probably nothing.""}, {""speaker"": ""Speaker 2"", ""text"": ""No, I can feel it—this is the end.""}, {""speaker"": ""Speaker 1"", ""text"": ""nobody's getting fired. get out of your head.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cut the metal rod? (A) set rod on machine (B) pick out rod (C) measure metal rod (D) cut rod","{""A"": ""set rod on machine"", ""B"": ""pick out rod"", ""C"": ""measure metal rod"", ""D"": ""cut rod""}",D,3043.3333333333335,3064.133333333333
EgoPlan-Bench2,video_grounded_offtopic,b367b7d2-180e-48c6-b4b3-34e770acbbd4,Work,b367b7d2-180e-48c6-b4b3-34e770acbbd4_8,"[{""speaker"": ""Speaker 1"", ""text"": ""This protest is getting out of hand, man. The crowd's massive.""}, {""speaker"": ""Speaker 2"", ""text"": ""Tell me about it. I can barely see the stage anymore.""}, {""speaker"": ""Speaker 1"", ""text"": ""Yeah, and check out that group chanting over there—they're intense.""}, {""speaker"": ""Speaker 2"", ""text"": ""Hey, Tommy, some guy with no pants just joined the protest.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to measure metal rods? (A) put metal rod on floor (B) pick up tape measure (C) mark metal rod (D) measure stair space","{""A"": ""put metal rod on floor"", ""B"": ""pick up tape measure"", ""C"": ""mark metal rod"", ""D"": ""measure stair space""}",A,2172.5666666666666,2234.5
EgoPlan-Bench2,video_grounded_offtopic,38813c97-f19b-40c9-ac38-7341e9cc6ab9,Hobbies,38813c97-f19b-40c9-ac38-7341e9cc6ab9_25,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, you must be the new guy at the party. What's your name?""}, {""speaker"": ""Speaker 2"", ""text"": ""Oh, you don't recognize me? I'm famous!""}, {""speaker"": ""Speaker 1"", ""text"": ""Famous? Like a celebrity or something?""}, {""speaker"": ""Speaker 2"", ""text"": ""Better! I jump on turtles and save princesses!""}, {""speaker"": ""Speaker 1"", ""text"": ""Wait, no way...""}, {""speaker"": ""Speaker 2"", ""text"": ""it's a me, a mario!""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare the lawn for gardening? (A) sift dirt (B) put rock in bucket (C) pick rock (D) till soil","{""A"": ""sift dirt"", ""B"": ""put rock in bucket"", ""C"": ""pick rock"", ""D"": ""till soil""}",C,1056.7666666666667,1086.6666666666667
EgoPlan-Bench2,video_grounded_offtopic,e7341197-a3ee-4259-a392-32e766ef07c6,Hobbies,e7341197-a3ee-4259-a392-32e766ef07c6_6,"[{""speaker"": ""Speaker 1"", ""text"": ""Hey, buzz me up! I forgot my keys again.""}, {""speaker"": ""Speaker 2"", ""text"": ""Fine, but hurry. *buzzes*""}, {""speaker"": ""Speaker 1"", ""text"": ""Thanks! *loud burp*""}, {""speaker"": ""Speaker 2"", ""text"": ""Harrison? Was that you?""}, {""speaker"": ""Speaker 1"", ""text"": ""Yeah! *another burp* Coming up!""}, {""speaker"": ""Speaker 2"", ""text"": ""harrison, stop burping into the intercom.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare dough? (A) place dough on table (B) wipe hands (C) withdraw hand from dough (D) pick dough","{""A"": ""place dough on table"", ""B"": ""wipe hands"", ""C"": ""withdraw hand from dough"", ""D"": ""pick dough""}",D,56.7,67.13333333333334
EgoPlan-Bench2,video_grounded_offtopic,ffdb7654-1b86-4cc6-9453-834bbe3361aa,Hobbies,ffdb7654-1b86-4cc6-9453-834bbe3361aa_37,"[{""speaker"": ""Speaker 1"", ""text"": ""Man, these limited edition sneakers are selling out everywhere. You think this store has any left?""}, {""speaker"": ""Speaker 2"", ""text"": ""Doubt it. I checked online, and they're gone at all the big chains.""}, {""speaker"": ""Speaker 1"", ""text"": ""Worth a look anyway. Let's head to the clearance rack.""}, {""speaker"": ""Speaker 2"", ""text"": ""Already checked—empty shelves as usual.""}, {""speaker"": ""Speaker 1"", ""text"": ""Hey, they still have some!""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to roll, separate and make dough balls in the kitchen? (A) put dough on table (B) roll dough on hand (C) cut dough with hand (D) make dough ball","{""A"": ""put dough on table"", ""B"": ""roll dough on hand"", ""C"": ""cut dough with hand"", ""D"": ""make dough ball""}",D,125.6,195.53333333333333
EgoPlan-Bench2,video_grounded_offtopic,f5bde626-7dcb-4151-b032-862cde94555d,Daily life,f5bde626-7dcb-4151-b032-862cde94555d_2,"[{""speaker"": ""Speaker 1"", ""text"": ""Those guys at the bar keep staring over here. I think they're gonna come talk to us again.""}, {""speaker"": ""Speaker 2"", ""text"": ""Ugh, I told you we should've left earlier. What if they won't take no for an answer?""}, {""speaker"": ""Speaker 1"", ""text"": ""Exactly, we need to get out without making a scene. They're heading this way now.""}, {""speaker"": ""Speaker 2"", ""text"": ""Okay, but how? I don't want to deal with them.""}, {""speaker"": ""Speaker 1"", ""text"": ""it's best to just pretend you've passed out, okay?""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to pick up dog poop? (A) wear polythene paper (B) unfold polythene paper (C) pick dog poop (D) fold poop on polythene paper","{""A"": ""wear polythene paper"", ""B"": ""unfold polythene paper"", ""C"": ""pick dog poop"", ""D"": ""fold poop on polythene paper""}",D,144.23333333333332,156.26666666666668
