task,scenario,video_uid,video_category,sample_id,dialogue,question,options,correct_answer,start_sec,end_sec
EgoPlan-Bench2,video_grounded_ontopic,93ba1e92-f21c-45b8-9862-6e15e2e2742c,Daily life,93ba1e92-f21c-45b8-9862-6e15e2e2742c_14,"[{""speaker"": ""Other"", ""text"": ""How's the meal? Everything tasting good so far?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, it’s pretty good. I’m just taking my time and making sure the pieces are cut nicely.""}, {""speaker"": ""Other"", ""text"": ""Nice. The water helping too?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Definitely. It’s a good break between bites, and the meal is really filling.""}, {""speaker"": ""Other"", ""text"": ""Looks like you’re almost done. Enjoy the rest of it.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to eat a meal? (A) eat meat (B) pick up silverwares (C) drink water (D) cut meat with knife","{""A"": ""eat meat"", ""B"": ""pick up silverwares"", ""C"": ""drink water"", ""D"": ""cut meat with knife""}",A,268.3,321.7
EgoPlan-Bench2,video_grounded_ontopic,3f2b1d67-50ef-4005-95d3-4cba5bd10b4b,Daily life,3f2b1d67-50ef-4005-95d3-4cba5bd10b4b_18,"[{""speaker"": ""Camera Wearer"", ""text"": ""This bread is pretty good with tea. I’m just having a few bites while I sit here.""}, {""speaker"": ""Other"", ""text"": ""Nice, that sounds like a simple snack. Is the tea hot enough?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, just right. I keep alternating between the bread and the tea so it’s easier to enjoy.""}, {""speaker"": ""Other"", ""text"": ""That’s the best way to do it. Are you going to have another piece?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Probably, yeah. I’m taking it slow and finishing this little snack.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to eat bread and drink tea? (A) put cup on table (B) pick bread (C) place bread on plate (D) drink tea","{""A"": ""put cup on table"", ""B"": ""pick bread"", ""C"": ""place bread on plate"", ""D"": ""drink tea""}",A,536.4666666666667,589.0333333333333
EgoPlan-Bench2,video_grounded_ontopic,d3efcada-ea80-47e4-80a8-7b9699766269,Daily life,d3efcada-ea80-47e4-80a8-7b9699766269_33,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’ve been working through this shirt for a while now. Trying to get these wrinkles out evenly.""}, {""speaker"": ""Other"", ""text"": ""Looks like you’re making good progress. Are you smoothing out the sleeves too?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I keep adjusting it so it stays flat before I go over it again. The fabric keeps shifting a little.""}, {""speaker"": ""Other"", ""text"": ""That’s always the annoying part. Once it’s nice and smooth, it should look a lot better.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Definitely. I’m almost done here, just checking the edges and making sure everything lines up neatly.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to iron material? (A) pick iron box (B) pick material (C) fold material (D) iron material","{""A"": ""pick iron box"", ""B"": ""pick material"", ""C"": ""fold material"", ""D"": ""iron material""}",C,459.6,501.5
EgoPlan-Bench2,video_grounded_ontopic,7d2d4e8e-bc29-4cce-bbd5-ab1daf1b27b5,Daily life,7d2d4e8e-bc29-4cce-bbd5-ab1daf1b27b5_54,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’ve got the pot on the stove now. Just moving the board out of the way so I have some room.""}, {""speaker"": ""Other"", ""text"": ""Nice, are you getting the water ready to boil?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m checking the pot and the lid too. I want to make sure everything’s set before I turn it up.""}, {""speaker"": ""Other"", ""text"": ""Good idea. The heat looks a little low right now.""}, {""speaker"": ""Camera Wearer"", ""text"": ""I’m adjusting it now, and then I’ll give it a stir once it starts moving a bit more.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare water for cooking? (A) take cooking stick (B) adjust cooker knob (C) stir water in pot (D) close can","{""A"": ""take cooking stick"", ""B"": ""adjust cooker knob"", ""C"": ""stir water in pot"", ""D"": ""close can""}",A,615.8,620.4
EgoPlan-Bench2,video_grounded_ontopic,5ed59c41-af9e-4368-a0ce-30d536d34895,Daily life,5ed59c41-af9e-4368-a0ce-30d536d34895_22,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m working on the butter here—trying to get it ready for the recipe.""}, {""speaker"": ""Other"", ""text"": ""Nice, that looks pretty soft. Are you using it for cooking or baking?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Baking, mostly. I just need a small piece, and then I’ll keep the rest from drying out.""}, {""speaker"": ""Other"", ""text"": ""Good idea. Butter can get messy if it sits out too long.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m putting everything back together and then I’ll finish up in the kitchen.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cut the ghee? (A) drop knife (B) eat butter piece (C) cut ghee (D) cover butter","{""A"": ""drop knife"", ""B"": ""eat butter piece"", ""C"": ""cut ghee"", ""D"": ""cover butter""}",D,280.93333333333334,289.8666666666667
EgoPlan-Bench2,video_grounded_ontopic,3a969f2a-5e7b-4870-aa01-d01cdc0555bd,Work,3a969f2a-5e7b-4870-aa01-d01cdc0555bd_5,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’ve got the screwdriver ready. I’m working my way through this motherboard now.""}, {""speaker"": ""Other"", ""text"": ""Nice, are you swapping out the chip too, or just checking the board?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Probably both. I’m being careful with these tiny parts so I don’t lose anything.""}, {""speaker"": ""Other"", ""text"": ""Yeah, those little components are easy to misplace. Want me to hand you anything else?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Maybe just keep an eye on the screws while I line everything up.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to replace parts of the motherboard? (A) drop motherboard on table (B) pick plier (C) place hand on table (D) raise motherboard","{""A"": ""drop motherboard on table"", ""B"": ""pick plier"", ""C"": ""place hand on table"", ""D"": ""raise motherboard""}",A,629.9333333333333,641.8
EgoPlan-Bench2,video_grounded_ontopic,3098f737-d4ba-4c67-9eb0-589d35858af0,Work,3098f737-d4ba-4c67-9eb0-589d35858af0_14,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m spreading this out on the wooden frame so it sits evenly.""}, {""speaker"": ""Other"", ""text"": ""Nice, that looks like it’s lining up better already. Do you need another piece?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m grabbing a few planks now. Some of them need a little adjustment first.""}, {""speaker"": ""Other"", ""text"": ""Got it. Take your time—once they’re in place, it should be much sturdier.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. I’m sorting through these pieces and picking the best one to use next.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare wood? (A) adjust wood (B) pull out sack (C) pick up wood (D) drop wood","{""A"": ""adjust wood"", ""B"": ""pull out sack"", ""C"": ""pick up wood"", ""D"": ""drop wood""}",D,273.76666666666665,277.1333333333333
EgoPlan-Bench2,video_grounded_ontopic,7f5ed6e1-aca1-40d5-87c6-d156c5f02263,Recreation,7f5ed6e1-aca1-40d5-87c6-d156c5f02263_20,"[{""speaker"": ""Camera Wearer"", ""text"": ""Alright, I’ve got the bags in the car and the last few things are almost sorted.""}, {""speaker"": ""Other"", ""text"": ""Nice, we’re making good time. Did you grab everything from the tent?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m just checking around one more time so we don’t leave anything behind.""}, {""speaker"": ""Other"", ""text"": ""Good idea. I’ll keep loading the rest into the trunk while you do that.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Perfect, then we can head out as soon as I’m done with the tent.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to pack up camping gear? (A) enter camp tent (B) take pillow (C) fold towel (D) pick bags","{""A"": ""enter camp tent"", ""B"": ""take pillow"", ""C"": ""fold towel"", ""D"": ""pick bags""}",A,728.9,788.6333333333333
EgoPlan-Bench2,video_grounded_ontopic,48509cf2-9c7b-401a-99f9-fca9f1403149,Daily life,48509cf2-9c7b-401a-99f9-fca9f1403149_8,"[{""speaker"": ""Camera Wearer"", ""text"": ""I just added the pepper to the meat. It’s smelling pretty good already.""}, {""speaker"": ""Other"", ""text"": ""Nice, that should give it a good kick. Are you using the whole pack?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Just enough to season it well. Now I’m mixing everything around so it cooks evenly.""}, {""speaker"": ""Other"", ""text"": ""Yeah, that’s the best part—getting all the flavor spread through the pan.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. I’m keeping the heat going and making sure it doesn’t stick.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to season and fry meat? (A) close pepper pack (B) scoop pepper (C) pour pepper on meats (D) stir meats","{""A"": ""close pepper pack"", ""B"": ""scoop pepper"", ""C"": ""pour pepper on meats"", ""D"": ""stir meats""}",D,175.73333333333332,195.23333333333332
EgoPlan-Bench2,video_grounded_ontopic,1cccdb19-2eb3-4ab7-ab74-58c9b425a68c,Hobbies,1cccdb19-2eb3-4ab7-ab74-58c9b425a68c_65,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’ve been spending more time on my indoor plants lately. It’s kind of relaxing to check on them and tidy things up.""}, {""speaker"": ""Other"", ""text"": ""That sounds nice. Do you have a favorite plant, or are you just trying to keep all of them healthy?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Probably this one right here. It’s been growing pretty well, so I’m trying to give it a good spot and keep the leaves looking fresh.""}, {""speaker"": ""Other"", ""text"": ""Nice, it always feels good when a plant starts thriving. Are you doing any rearranging around it too?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, just a little. I like making sure it’s in the right place before I do anything else.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare the plant for watering? (A) touch house plant leaves (B) place house plant on shelf (C) trim house plant leaf (D) rotate house plant","{""A"": ""touch house plant leaves"", ""B"": ""place house plant on shelf"", ""C"": ""trim house plant leaf"", ""D"": ""rotate house plant""}",B,1111.9,1143.1666666666667
EgoPlan-Bench2,video_grounded_ontopic,bdbeaad4-212d-4c45-8a32-e6c5f852f0ee,Work,bdbeaad4-212d-4c45-8a32-e6c5f852f0ee_51,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m just getting set up for this task. There’s a lot to keep track of on this workstation.""}, {""speaker"": ""Other"", ""text"": ""Yeah, it looks pretty busy. Are you making progress, or are you still organizing everything?""}, {""speaker"": ""Camera Wearer"", ""text"": ""A little of both. I’m checking each step carefully so I don’t miss anything.""}, {""speaker"": ""Other"", ""text"": ""That makes sense. Work like this is always easier when you slow down and do it in order.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. Once everything’s lined up, it should go a lot smoother from here.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to attach pipe to flask? (A) wear glove (B) pick up pipe (C) loosen lid (D) push glass door","{""A"": ""wear glove"", ""B"": ""pick up pipe"", ""C"": ""loosen lid"", ""D"": ""push glass door""}",D,558.6,572.5666666666667
EgoPlan-Bench2,video_grounded_ontopic,ad08b4d6-3f23-4f3c-974c-5d9d90a727b6,Daily life,ad08b4d6-3f23-4f3c-974c-5d9d90a727b6_14,"[{""speaker"": ""Other"", ""text"": ""Looks like the dog’s keeping you busy on this walk.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, we’ve been going a little slow, but it’s a nice route along the road.""}, {""speaker"": ""Other"", ""text"": ""Do you have everything you need with you?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yep, I’ve got the leash and a waste bag ready in case I need it.""}, {""speaker"": ""Other"", ""text"": ""Good thinking. Nice to stay on top of it while you’re out here.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to pick up dog waste and dispose it? (A) fasten dog waste bag (B) collect dog waste from ground (C) adjust cloth with left hand (D) move dog leash to right hand","{""A"": ""fasten dog waste bag"", ""B"": ""collect dog waste from ground"", ""C"": ""adjust cloth with left hand"", ""D"": ""move dog leash to right hand""}",A,556.7333333333333,695.9333333333333
EgoPlan-Bench2,video_grounded_ontopic,f9b214ac-cb2c-4a1e-b6f1-518293398e35,Work,f9b214ac-cb2c-4a1e-b6f1-518293398e35_5,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m shifting this bowl out of the way so I have more space for my laptop.""}, {""speaker"": ""Other"", ""text"": ""Good idea. Looks like you’re settling in to get some work done.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I just need to type up a few things first. My hands are a little dry too.""}, {""speaker"": ""Other"", ""text"": ""Take a quick break if you need to. Don’t forget to keep a bottle nearby.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Will do. I’m checking my nails for a second, then I’ll get back to it.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to operate a laptop, organize items and hydrate? (A) move bowl (B) put water bottle on table (C) drink water (D) press keyboard","{""A"": ""move bowl"", ""B"": ""put water bottle on table"", ""C"": ""drink water"", ""D"": ""press keyboard""}",C,2.2666666666666666,31.333333333333332
EgoPlan-Bench2,video_grounded_ontopic,c976bf0b-e005-40b6-8482-6c1431797edc,Work,c976bf0b-e005-40b6-8482-6c1431797edc_39,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m grabbing a rod from the bin and getting it lined up on the mill.""}, {""speaker"": ""Other"", ""text"": ""Nice, are you checking the length first before you work on it?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, I’m measuring it now and marking where it needs to be adjusted.""}, {""speaker"": ""Other"", ""text"": ""Sounds good. Careful not to lose that pencil again.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Too late, it already hit the floor. I’ve got the piece set up though, so I’m finishing this one up.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cut the metal rod? (A) set rod on machine (B) pick out rod (C) measure metal rod (D) cut rod","{""A"": ""set rod on machine"", ""B"": ""pick out rod"", ""C"": ""measure metal rod"", ""D"": ""cut rod""}",D,3043.3333333333335,3064.133333333333
EgoPlan-Bench2,video_grounded_ontopic,b367b7d2-180e-48c6-b4b3-34e770acbbd4,Work,b367b7d2-180e-48c6-b4b3-34e770acbbd4_8,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m getting these rods organized before I start the next step.""}, {""speaker"": ""Other"", ""text"": ""Nice, that’ll make the work go a lot smoother. Do you need me to help line them up?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, that’d be great. I just want everything straight and ready so I can check the lengths properly.""}, {""speaker"": ""Other"", ""text"": ""Sounds good. Once they’re set, it’ll be easier to get accurate measurements and keep things moving.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Exactly. I’d rather take a minute now than deal with mistakes later.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to measure metal rods? (A) put metal rod on floor (B) pick up tape measure (C) mark metal rod (D) measure stair space","{""A"": ""put metal rod on floor"", ""B"": ""pick up tape measure"", ""C"": ""mark metal rod"", ""D"": ""measure stair space""}",A,2172.5666666666666,2234.5
EgoPlan-Bench2,video_grounded_ontopic,38813c97-f19b-40c9-ac38-7341e9cc6ab9,Hobbies,38813c97-f19b-40c9-ac38-7341e9cc6ab9_25,"[{""speaker"": ""Camera Wearer"", ""text"": ""This ground is full of little stones. I’m clearing them out one by one so the soil is easier to work with.""}, {""speaker"": ""Other"", ""text"": ""Yeah, that’ll make a big difference. The bed looks much cleaner already.""}, {""speaker"": ""Camera Wearer"", ""text"": ""I’m tossing the bigger ones into the bucket and loosening up the dirt where they were sitting.""}, {""speaker"": ""Other"", ""text"": ""Nice, keep going. Once you get all of these out, it’ll be ready for planting.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare the lawn for gardening? (A) sift dirt (B) put rock in bucket (C) pick rock (D) till soil","{""A"": ""sift dirt"", ""B"": ""put rock in bucket"", ""C"": ""pick rock"", ""D"": ""till soil""}",C,1056.7666666666667,1086.6666666666667
EgoPlan-Bench2,video_grounded_ontopic,e7341197-a3ee-4259-a392-32e766ef07c6,Hobbies,e7341197-a3ee-4259-a392-32e766ef07c6_6,"[{""speaker"": ""Camera Wearer"", ""text"": ""I’m working this dough with flour so it doesn’t stick too much.""}, {""speaker"": ""Other"", ""text"": ""Nice, it looks like you’re getting a good texture. Are you making bread or something similar?""}, {""speaker"": ""Camera Wearer"", ""text"": ""Yeah, just trying to shape it up little by little and keep it even.""}, {""speaker"": ""Other"", ""text"": ""Looks like it’s coming together well. You’ve got a good rhythm going.""}, {""speaker"": ""Camera Wearer"", ""text"": ""Thanks, I’m just alternating between kneading and cutting it so I can portion it out cleanly.""}]","Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare dough? (A) place dough on table (B) wipe hands (C) withdraw hand from dough (D) pick dough","{""A"": ""place dough on table"", ""B"": ""wipe hands"", ""C"": ""withdraw hand from dough"", ""D"": ""pick dough""}",D,56.7,67.13333333333334
